"Video_id","Video_title","Published_at","Duration","Video_type","View_count","Like_count","Comment_count"
KOEfDvr4DcQ,"Face Your Biggest Fear To Win $800,000",2024-02-10 17:00:00.000,00:22:03,Normal,399109955,6882045,230796
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,2024-04-27 16:00:00.000,00:10:00,Normal,171296290,4182378,76744
NnNZLCl78Ao,"Make This Kick, Win Super Bowl Tickets",2023-08-25 16:00:25.000,00:00:52,Short,140851962,5188172,9179
QjvpjXdgugA,"10 People Vs World's Deadliest Laser Maze for $250,000",2023-10-28 15:59:59.000,00:25:59,Normal,316624299,4883589,83704
lOKASgtr6kU,I Adopted 100 Dogs!,2023-12-23 17:00:00.000,00:15:03,Normal,408650581,6781427,113277
krsBRQbOPQ4,"$1 vs $250,000,000 Private Island!",2024-01-27 17:00:00.000,00:16:59,Normal,406514441,6071858,104373
jObOjhUkf50,"$1 vs $250,000 Vacation!",2023-08-12 15:59:59.000,00:15:58,Normal,454522562,6867048,109512
oA4LSZvX4iE,Ages 1-100 Try My Chocolate,2024-05-09 16:00:00.000,00:00:39,Short,287264378,10009118,36143
Gx6VeIIbWwM,"Spot The Hidden People For $10,000",2023-09-28 17:00:01.000,00:00:35,Short,775247451,22131955,32450
"8kggT2ej-lo",Would You Pet a Cheetah in Africa?,2023-05-01 20:00:02.000,00:00:39,Short,1013840432,29590864,38557
sH48lKbayNU,Unboxing My 200M Subscriber Play Button,2024-02-29 17:00:00.000,00:00:46,Short,256273594,14761953,56509
NTZhwAldqwg,Metal Pipe Vs School Bus,2023-08-22 17:00:00.000,00:00:28,Short,543254390,13909647,29719
AjZDwxt7S8w,I Gave Away A House On Halloween,2023-11-10 18:00:00.000,00:00:48,Short,375422939,13933183,37785
J_z-W4UVHkw,"Every Country On Earth Fights For $250,000!",2023-08-19 16:00:01.000,00:18:13,Normal,273905722,6568996,382316
"3ryID_SwU5E","$1 vs $100,000,000 House!",2023-10-14 16:00:00.000,00:17:03,Normal,434930906,6533780,136492
c0v8OPItCOg,"$100,000,000 Bathroom",2023-10-17 17:00:00.000,00:00:50,Short,395932710,12992931,24222
CAOY8EKH1qU,I Paid A Random Student’s College Tuition,2023-09-26 16:59:59.000,00:00:37,Short,573132720,25396336,64655
GGBy50KtvRk,Tipping A Waitress A Car,2023-04-22 20:00:00.000,00:00:38,Short,785800906,30853541,75133
O3YVBJ2n5xg,I Ate The World’s Most Poisonous Fish,2023-08-08 17:30:01.000,00:00:32,Short,563109022,22317543,41561
CWbV3NItSdY,The World's Fastest Cleaners,2024-04-25 16:00:03.000,00:00:35,Short,734378326,26588946,44441
"48h57PspBec","$1 vs $1,000,000,000 Yacht!",2023-06-10 16:00:00.000,00:14:47,Normal,561584332,8491865,169137
OnTTThIzuNU,"Keep Track Of Car, Win $10,000",2024-03-19 16:00:00.000,00:00:51,Short,187718179,8036484,97097
AFXoSFNMwIA,I Filled Chandler’s Car With Feastables,2024-02-27 18:00:01.000,00:00:38,Short,506119844,15322668,30957
"7ESeQBeikKs","Protect $500,000 Keep It!",2024-01-13 17:00:00.000,00:15:34,Normal,198226230,4835941,70631
yhB3BgJyGl8,"7 Days Stranded At Sea",2023-08-05 16:00:01.000,00:18:05,Normal,434914285,8416763,129873
"3OFj6l2tQ9s",World's Most Dangerous Trap!,2023-10-07 16:00:00.000,00:19:34,Normal,355596146,6763606,149927
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,2023-10-12 17:30:03.000,00:00:52,Short,731826269,27229629,37064
